code,name
000070,삼양홀딩스
000080,하이트진로
000100,유한양행
000180,성창기업지주
000210,DL
000240,한국앤컴퍼니
000250,삼천당제약
000270,기아
000300,DH오토넥스
000480,CR홀딩스
000640,동아쏘시오홀딩스
000720,현대건설
000810,삼성화재
000990,DB하이텍
001040,CJ
001060,JW중외제약
001120,LX인터내셔널
001200,유진투자증권
001230,동국홀딩스
001250,GS글로벌
001430,세아베스틸지주
001440,대한전선
001450,현대해상
001510,SK증권
001550,조비
001740,SK네트웍스
001780,알루코
001800,오리온홀딩스
002780,진흥기업
003280,흥아해운
003470,유안타증권
003490,대한항공
003530,한화투자증권
003550,LG
003670,포스코퓨처엠
004020,현대제철
004060,SG세계물산
004150,한솔홀딩스
004170,신세계
004710,한솔테크닉스
004800,효성
004990,롯데지주
005070,코스모신소재
005250,녹십자홀딩스
005290,동진쎄미켐
005380,현대차
005387,현대차2우B
005420,코스모화학
005490,POSCO홀딩스
005830,DB손해보험
005850,에스엘
005880,대한해운
005930,삼성전자
005935,삼성전자우
005940,NH투자증권
005960,동부건설
006110,UST
006260,LS
006360,GS건설
006400,삼성SDI
006800,미래에셋증권
006910,보성파워텍
007070,GS리테일
007690,선도전기
007810,코리아써키트
008040,사조동아원
008350,남선알미늄
008500,일정실업
008770,호텔신라
008970,KBI동양철관
009150,삼성전기
009540,HD현대중공업
009830,한화솔루션
010060,OCI
010130,고려아연
010140,삼성중공업
010170,대한광통신
010240,코리아나
010300,서희건설
010690,화신
010950,S-Oil
011000,진원생명과학
011070,LG이노텍
011170,롯데케미칼
011210,현대위아
011690,와이투솔루션
011780,금호석유화학
011790,SKC
012200,계양전기
012330,현대모비스
012340,뉴인텍
012450,한화에어로스페이스
012800,대창
012860,모베이스전자
013000,세우글로벌
013310,아진산업
014680,한솔케미칼
015750,성우하이텍
015760,한국전력
016360,삼성증권
017510,세명전기
017650,대림제지
017670,SK텔레콤
017900,광전자
018000,유니슨
018260,삼성에스디에스
018310,삼목에스폼
018880,한온시스템
019570,플루토스
020150,롯데에너지머티리얼즈
020710,시공테크
021040,대호특수강
021240,코웨이
022100,포스코DX
023530,롯데쇼핑
024110,기업은행
024840,KBI메탈
024900,디와이덕양
025900,동화기업
027360,아주IB투자
027710,팜스토리
028050,삼성E&A
028260,삼성물산
028300,HLB
030000,제일기획
030200,KT
030520,한글과컴퓨터
030530,원익홀딩스
030720,동원수산
